iter	Accuracy	MultiClass
708	0.9996986136	-0.07330966834
709	0.9996986136	-0.07317764013
710	0.9996986136	-0.07303922426
711	1	-0.07275529281
712	1	-0.07257279698
713	1	-0.07238709992
714	0.9996986136	-0.07230046069
715	0.9996986136	-0.07220935346
716	0.9996986136	-0.07199549698
717	0.9996986136	-0.07192904955
718	0.9996986136	-0.0718653782
719	0.9996986136	-0.07172097505
720	0.9996986136	-0.07152978333
721	0.9996986136	-0.07142432896
722	0.9996986136	-0.07133256557
723	0.9996986136	-0.07123246952
724	0.9996986136	-0.07115504111
725	0.9996986136	-0.07110964511
726	0.9996986136	-0.07097522958
727	0.9996986136	-0.07078642283
728	0.9996986136	-0.07065201858
729	0.9996986136	-0.0706124462
730	1	-0.07048727177
731	1	-0.07041222524
732	1	-0.07028581526
733	1	-0.07015107684
734	1	-0.06992021103
735	1	-0.06987162032
736	1	-0.0697871904
737	1	-0.06967684903
738	1	-0.06954537115
739	1	-0.06934808029
740	1	-0.06923707988
741	1	-0.06914487105
742	1	-0.06903110837
743	1	-0.06884259
744	1	-0.06878718935
745	1	-0.06862019613
746	1	-0.06847710334
747	1	-0.06833944876
748	1	-0.06819022875
749	1	-0.06811819646
750	1	-0.06791792848
751	1	-0.06776012618
752	1	-0.06757376383
753	1	-0.06738770529
754	1	-0.06720270404
755	1	-0.06691272487
756	1	-0.06683101508
757	1	-0.06672074523
758	1	-0.06663984596
759	1	-0.06639450975
760	1	-0.0658976772
761	1	-0.06581478617
762	1	-0.06564522496
763	1	-0.06558733633
764	1	-0.06556607132
765	1	-0.06553735157
766	1	-0.06544873873
767	1	-0.06537659197
768	1	-0.0653231568
769	1	-0.06521493629
770	1	-0.06510499682
771	1	-0.06479752484
772	1	-0.06470214605
773	1	-0.06460787625
774	1	-0.06445135295
775	1	-0.06427556278
776	1	-0.06422250046
777	1	-0.0640288155
778	1	-0.06397940069
779	1	-0.06391779606
780	1	-0.06383212926
781	1	-0.06365581415
782	1	-0.06359103399
783	1	-0.06345597466
784	1	-0.06315970703
785	1	-0.06301588967
786	1	-0.06294642251
787	1	-0.06287033193
788	1	-0.06278943217
789	1	-0.06267698489
790	1	-0.06262161439
791	1	-0.06258190469
792	1	-0.06250116204
793	1	-0.06245625975
794	1	-0.06238826636
795	1	-0.0622635321
796	1	-0.06219270307
797	1	-0.06217696747
798	1	-0.06203447489
799	1	-0.06192023541
800	1	-0.06181666855
801	1	-0.06172239282
802	1	-0.06159958306
803	1	-0.06155484803
804	1	-0.06149308029
805	1	-0.06143456402
806	1	-0.0613739943
807	1	-0.06128419864
808	1	-0.0612171141
809	1	-0.06115730147
810	1	-0.06101708645
811	1	-0.0607525483
812	1	-0.06064473772
813	1	-0.06049928614
814	1	-0.06028612196
815	1	-0.0601767649
816	1	-0.06008046776
817	1	-0.05996298848
818	1	-0.05968584094
819	1	-0.05958944447
820	1	-0.05948691644
821	1	-0.05943147923
822	1	-0.05940245106
823	1	-0.05932919142
824	1	-0.05915072686
825	1	-0.05898184764
826	1	-0.05892409144
827	1	-0.05887737146
828	1	-0.05879415451
829	1	-0.05866275182
830	1	-0.05853817405
831	1	-0.05851730715
832	1	-0.05840947472
833	1	-0.05833426592
834	1	-0.05819780188
835	1	-0.05813617588
836	1	-0.05803874476
837	1	-0.05799650505
838	1	-0.05795266665
839	1	-0.05788340356
840	1	-0.05781985929
841	1	-0.05774480896
842	1	-0.05764205812
843	1	-0.05753985181
844	1	-0.057437386
845	1	-0.05736051323
846	1	-0.05730261858
847	1	-0.05719261352
848	1	-0.05715493049
849	1	-0.0570295414
850	1	-0.05697689987
851	1	-0.05688329439
852	1	-0.05683165474
853	1	-0.05677457547
854	1	-0.05671622686
855	1	-0.05666160559
856	1	-0.0565451624
857	1	-0.05643572629
858	1	-0.05635260373
859	1	-0.05626105667
860	1	-0.0561309011
861	1	-0.056091535
862	1	-0.05605942669
863	1	-0.05602484333
864	1	-0.05594142543
